Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,"WHO Region",NewCases,CaseFatalityRate
"New South Wales",Australia,-33.8688,151.209,2020/02/25,4,0,4,0,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/25,2,0,2,0,"Western Pacific",2,0
Victoria,Australia,-37.8136,144.963,2020/02/25,4,0,4,0,"Western Pacific",2,0
Queensland,Australia,-27.4698,153.025,2020/02/25,5,0,1,4,"Western Pacific",5,0
,Austria,47.5162,14.5501,2020/02/25,2,0,0,2,Europe,2,0
,Austria,47.5162,14.5501,2020/02/25,2,0,0,2,Europe,0,0
,Bahrain,26.0275,50.55,2020/02/24,1,0,0,1,"Eastern Mediterranean",1,0
,Bahrain,26.0275,50.55,2020/02/24,1,0,0,1,"Eastern Mediterranean",0,0
,Bahrain,26.0275,50.55,2020/02/25,23,0,0,23,"Eastern Mediterranean",22,0
,Bahrain,26.0275,50.55,2020/02/25,23,0,0,23,"Eastern Mediterranean",0,0
,Belgium,50.8333,4.46994,2020/02/04,1,0,0,1,Europe,1,0
,Belgium,50.8333,4.46994,2020/02/04,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/05,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/05,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/06,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/06,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/07,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/07,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/08,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/08,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/09,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/09,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/10,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/10,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/11,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/11,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/12,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/12,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/13,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/13,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/14,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/14,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/15,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/15,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/16,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/16,1,0,0,1,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/17,1,0,1,0,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/17,1,0,1,0,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/18,1,0,1,0,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/18,1,0,1,0,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/19,1,0,1,0,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/19,1,0,1,0,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/20,1,0,1,0,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/20,1,0,1,0,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/21,1,0,1,0,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/21,1,0,1,0,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/22,1,0,1,0,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/22,1,0,1,0,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/23,1,0,1,0,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/23,1,0,1,0,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/24,1,0,1,0,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/24,1,0,1,0,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/25,1,0,1,0,Europe,0,0
,Belgium,50.8333,4.46994,2020/02/25,1,0,1,0,Europe,0,0
,Cambodia,11.55,104.917,2020/01/27,1,0,0,1,"Western Pacific",1,0
,Cambodia,11.55,104.917,2020/01/27,1,0,0,1,"Western Pacific",0,0
,Cambodia,11.55,104.917,2020/01/28,1,0,0,1,"Western Pacific",0,0
,Cambodia,11.55,104.917,2020/01/28,1,0,0,1,"Western Pacific",0,0
,Cambodia,11.55,104.917,2020/01/29,1,0,0,1,"Western Pacific",0,0
,Cambodia,11.55,104.917,2020/01/29,1,0,0,1,"Western Pacific",0,0
,Cambodia,11.55,104.917,2020/01/30,1,0,0,1,"Western Pacific",0,0
,Cambodia,11.55,104.917,2020/01/30,1,0,0,1,"Western Pacific",0,0
,Cambodia,11.55,104.917,2020/01/31,1,0,0,1,"Western Pacific",0,0
,Cambodia,11.55,104.917,2020/01/31,1,0,0,1,"Western Pacific",0,0
,Cambodia,11.55,104.917,2020/02/01,1,0,0,1,"Western Pacific",0,0
,Cambodia,11.55,104.917,2020/02/01,1,0,0,1,"Western Pacific",0,0
,Cambodia,11.55,104.917,2020/02/02,1,0,0,1,"Western Pacific",0,0
,Cambodia,11.55,104.917,2020/02/02,1,0,0,1,"Western Pacific",0,0
,Cambodia,11.55,104.917,2020/02/03,1,0,0,1,"Western Pacific",0,0
